date,temperature,humidity,luminosity
2023-12-07 15:55:00.382,20.5,39.2,223
2023-12-07 15:54:59.383,20.5,39.2,223
2023-12-07 15:54:58.370,20.5,39.2,226
2023-12-07 15:54:57.371,20.5,39.2,225
2023-12-07 15:54:56.363,20.5,39.3,225
2023-12-07 15:54:55.360,20.5,39.3,225
2023-12-07 15:54:54.352,20.5,39.3,225
2023-12-07 15:54:53.349,20.5,39.3,225
2023-12-07 15:54:52.341,20.5,39.3,223
2023-12-07 15:54:51.337,20.5,39.3,223
2023-12-07 15:54:50.330,20.5,39.3,223
2023-12-07 15:54:49.326,20.5,39.3,225
2023-12-07 15:54:48.318,20.5,39.3,225
2023-12-07 15:54:47.314,20.5,39.3,223
2023-12-07 15:54:46.307,20.5,39.2,223
2023-12-07 15:54:45.303,20.5,39.2,225
2023-12-07 15:54:44.295,20.5,39.3,225
2023-12-07 15:54:43.292,20.5,39.3,225
2023-12-07 15:54:42.284,20.5,39.2,225
2023-12-07 15:54:41.280,20.5,39.2,225
2023-12-07 15:54:40.273,20.5,39.3,222
2023-12-07 15:54:39.269,20.5,39.3,222
2023-12-07 15:54:38.261,20.5,39.3,225
2023-12-07 15:54:37.262,20.5,39.3,225
2023-12-07 15:54:36.250,20.5,39.2,223
2023-12-07 15:54:35.251,20.5,39.2,222
2023-12-07 15:54:34.239,20.5,39.2,222
2023-12-07 15:54:33.239,20.5,39.2,220
2023-12-07 15:54:32.227,20.5,39.3,222
2023-12-07 15:54:31.228,20.5,39.3,222
2023-12-07 15:54:30.220,20.5,39.3,222
2023-12-07 15:54:29.217,20.5,39.3,223
2023-12-07 15:54:28.209,20.5,39.2,220
2023-12-07 15:54:27.205,20.5,39.2,222
2023-12-07 15:54:26.198,20.5,39.2,223
2023-12-07 15:54:25.194,20.5,39.2,226
2023-12-07 15:54:24.186,20.5,39.2,226
2023-12-07 15:54:23.183,20.5,39.2,225
2023-12-07 15:54:22.175,20.5,39.2,226
2023-12-07 15:54:21.171,20.5,39.2,225
2023-12-07 15:54:20.164,20.5,39.2,223
2023-12-07 15:54:19.161,20.5,39.2,223
2023-12-07 15:54:18.152,20.5,39.2,226
2023-12-07 15:54:17.149,20.5,39.2,226
2023-12-07 15:54:16.141,20.5,39.2,225
2023-12-07 15:54:15.138,20.5,39.2,225
2023-12-07 15:54:14.130,20.5,39.2,225
2023-12-07 15:54:13.127,20.5,39.2,220
2023-12-07 15:54:12.119,20.5,39.2,222
2023-12-07 15:54:11.119,20.5,39.2,223
2023-12-07 15:54:10.107,20.5,39.2,222
2023-12-07 15:54:09.108,20.5,39.2,222
2023-12-07 15:54:08.096,20.5,39.2,223
2023-12-07 15:54:07.097,20.5,39.2,223
2023-12-07 15:54:06.088,20.5,39.2,222
2023-12-07 15:54:05.085,20.5,39.2,223
2023-12-07 15:54:04.077,20.5,39.2,222
2023-12-07 15:54:03.074,20.5,39.2,223
2023-12-07 15:54:02.066,20.5,39.2,223
2023-12-07 15:54:01.062,20.5,39.2,223
2023-12-07 15:54:00.055,20.5,39.2,225
2023-12-07 15:53:59.051,20.5,39.2,225
2023-12-07 15:53:58.043,20.5,39.2,223
2023-12-07 15:53:57.040,20.5,39.2,222
2023-12-07 15:53:56.032,20.5,39.2,222
2023-12-07 15:53:55.028,20.5,39.2,222
2023-12-07 15:53:54.021,20.5,39.2,223
2023-12-07 15:53:53.017,20.5,39.2,222
2023-12-07 15:53:52.010,20.5,39.2,226
2023-12-07 15:53:51.006,20.5,39.2,225
2023-12-07 15:53:49.998,20.5,39.2,223
2023-12-07 15:53:48.999,20.5,39.2,225
2023-12-07 15:53:47.987,20.5,39.2,223
2023-12-07 15:53:46.987,20.5,39.2,223
2023-12-07 15:53:45.975,20.5,39.2,225
2023-12-07 15:53:44.976,20.5,39.2,225
2023-12-07 15:53:43.964,20.5,39.2,223
2023-12-07 15:53:42.965,20.5,39.2,223
2023-12-07 15:53:41.957,20.5,39.2,226
2023-12-07 15:53:40.953,20.5,39.2,226
2023-12-07 15:53:39.946,20.5,39.2,225
2023-12-07 15:53:38.942,20.5,39.2,226
2023-12-07 15:53:37.934,20.5,39.2,225
2023-12-07 15:53:36.931,20.5,39.2,225
2023-12-07 15:53:35.923,20.5,39.2,225
2023-12-07 15:53:34.920,20.5,39.2,223
2023-12-07 15:53:33.912,20.5,39.2,222
2023-12-07 15:53:32.908,20.5,39.2,223
2023-12-07 15:53:31.901,20.5,39.2,222
2023-12-07 15:53:30.897,20.5,39.2,222
2023-12-07 15:53:29.889,20.5,39.2,220
2023-12-07 15:53:28.885,20.5,39.2,220
2023-12-07 15:53:27.878,20.5,39.2,220
2023-12-07 15:53:26.874,20.5,39.2,222
2023-12-07 15:53:25.866,20.5,39.2,220
2023-12-07 15:53:24.867,20.5,39.2,222
2023-12-07 15:53:23.855,20.5,39.2,223
2023-12-07 15:53:22.856,20.5,39.2,223
2023-12-07 15:53:21.844,20.5,39.2,223
2023-12-07 15:53:20.844,20.5,39.2,225
2023-12-07 15:53:19.837,20.5,39.2,225
2023-12-07 15:53:18.833,20.5,39.2,225
2023-12-07 15:53:17.825,20.5,39.2,223
2023-12-07 15:53:16.822,20.5,39.2,223
2023-12-07 15:53:15.814,20.5,39.2,223
2023-12-07 15:53:14.810,20.5,39.2,222
2023-12-07 15:53:13.802,20.5,39.2,223
2023-12-07 15:53:12.799,20.5,39.2,223
2023-12-07 15:53:11.791,20.5,39.2,225
2023-12-07 15:53:10.787,20.5,39.2,225
2023-12-07 15:53:09.780,20.5,39.2,225
2023-12-07 15:53:08.776,20.5,39.2,223
2023-12-07 15:53:07.768,20.5,39.1,223
2023-12-07 15:53:06.765,20.5,39.1,225
2023-12-07 15:53:05.757,20.5,39.2,222
2023-12-07 15:53:04.754,20.5,39.2,222
2023-12-07 15:53:03.746,20.5,39.1,222
2023-12-07 15:53:02.747,20.5,39.1,222
2023-12-07 15:53:01.735,20.5,39.2,223
2023-12-07 15:53:00.735,20.5,39.2,223
2023-12-07 15:52:59.723,20.5,39.2,223
2023-12-07 15:52:58.724,20.5,39.2,222
2023-12-07 15:52:57.712,20.5,39.2,222
2023-12-07 15:52:56.712,20.5,39.2,223
2023-12-07 15:52:55.705,20.5,39.2,222
2023-12-07 15:52:54.701,20.5,39.2,222
2023-12-07 15:52:53.693,20.5,39.2,222
2023-12-07 15:52:52.690,20.5,39.2,223
2023-12-07 15:52:51.682,20.5,39.2,222
2023-12-07 15:52:50.678,20.5,39.2,223
2023-12-07 15:52:49.671,20.5,39.2,222
2023-12-07 15:52:48.667,20.5,39.2,222
2023-12-07 15:52:47.660,20.5,39.2,222
2023-12-07 15:52:46.656,20.5,39.2,222
2023-12-07 15:52:45.648,20.5,39.2,222
2023-12-07 15:52:44.645,20.5,39.2,223
2023-12-07 15:52:43.637,20.5,39.2,222
2023-12-07 15:52:42.633,20.5,39.2,223
2023-12-07 15:52:41.626,20.5,39.2,223
2023-12-07 15:52:40.622,20.5,39.2,222
2023-12-07 15:52:39.614,20.5,39.2,223
2023-12-07 15:52:38.615,20.5,39.2,225
2023-12-07 15:52:37.603,20.5,39.2,226
2023-12-07 15:52:36.603,20.5,39.2,222
2023-12-07 15:52:35.591,20.5,39.2,222
2023-12-07 15:52:34.592,20.5,39.2,220
2023-12-07 15:52:33.584,20.5,39.2,220
2023-12-07 15:52:32.581,20.5,39.2,220
2023-12-07 15:52:31.573,20.5,39.2,222
2023-12-07 15:52:30.569,20.5,39.2,222
2023-12-07 15:52:29.562,20.5,39.2,220
2023-12-07 15:52:28.558,20.5,39.2,220
2023-12-07 15:52:27.550,20.5,39.2,220
2023-12-07 15:52:26.547,20.5,39.2,220
2023-12-07 15:52:25.539,20.5,39.2,223
2023-12-07 15:52:24.536,20.5,39.2,225
2023-12-07 15:52:23.528,20.5,39.2,223
2023-12-07 15:52:22.524,20.5,39.2,223
2023-12-07 15:52:21.517,20.5,39.2,225
2023-12-07 15:52:20.513,20.5,39.2,226
2023-12-07 15:52:19.505,20.5,39.1,223
2023-12-07 15:52:18.502,20.5,39.1,223
2023-12-07 15:52:17.494,20.5,39.2,223
2023-12-07 15:52:16.490,20.5,39.2,223
2023-12-07 15:52:15.483,20.5,39.1,225
2023-12-07 15:52:14.483,20.5,39.1,225
2023-12-07 15:52:13.471,20.5,39.1,223
2023-12-07 15:52:12.472,20.5,39.1,225
2023-12-07 15:52:11.460,20.5,39.1,225
2023-12-07 15:52:10.460,20.5,39.1,225
2023-12-07 15:52:09.448,20.5,39.2,222
2023-12-07 15:52:08.449,20.5,39.2,223
2023-12-07 15:52:07.441,20.5,39.1,222
2023-12-07 15:52:06.438,20.5,39.1,222
2023-12-07 15:52:05.430,20.5,39.2,223
2023-12-07 15:52:04.426,20.5,39.2,223
2023-12-07 15:52:03.418,20.5,39.1,223
2023-12-07 15:52:02.415,20.5,39.1,222
2023-12-07 15:52:01.407,20.5,39.2,222
2023-12-07 15:52:00.403,20.5,39.2,223
2023-12-07 15:51:59.396,20.5,39.1,222
2023-12-07 15:51:58.392,20.5,39.1,222
2023-12-07 15:51:57.384,20.5,39.2,222
2023-12-07 15:51:56.381,20.5,39.2,222
2023-12-07 15:51:55.373,20.5,39.2,222
2023-12-07 15:51:54.370,20.5,39.2,223
2023-12-07 15:51:53.362,20.5,39.2,222
2023-12-07 15:51:52.358,20.5,39.2,222
2023-12-07 15:51:51.350,20.5,39.2,222
2023-12-07 15:51:50.347,20.5,39.2,222
2023-12-07 15:51:49.340,20.5,39.2,222
2023-12-07 15:51:48.340,20.5,39.2,223
2023-12-07 15:51:47.328,20.5,39.2,222
2023-12-07 15:51:46.328,20.5,39.2,222
2023-12-07 15:51:45.317,20.5,39.2,222
2023-12-07 15:51:44.317,20.5,39.2,222
2023-12-07 15:51:43.309,20.5,39.2,223
2023-12-07 15:51:42.306,20.5,39.2,223
2023-12-07 15:51:41.298,20.5,39.2,222
2023-12-07 15:51:40.294,20.5,39.2,222
2023-12-07 15:51:39.287,20.5,39.2,222
2023-12-07 15:51:38.283,20.5,39.2,222
2023-12-07 15:51:37.276,20.5,39.2,225
2023-12-07 15:51:36.272,20.5,39.2,223
2023-12-07 15:51:35.264,20.5,39.2,223
2023-12-07 15:51:34.261,20.5,39.2,223
2023-12-07 15:51:33.253,20.5,39.2,222
2023-12-07 15:51:32.249,20.5,39.2,222
2023-12-07 15:51:31.241,20.5,39.2,223
2023-12-07 15:51:30.238,20.5,39.2,222
2023-12-07 15:51:29.230,20.5,39.2,223
2023-12-07 15:51:28.227,20.5,39.2,223
2023-12-07 15:51:27.219,20.5,39.2,223
2023-12-07 15:51:26.219,20.5,39.2,222
2023-12-07 15:51:25.208,20.5,39.2,223
2023-12-07 15:51:24.208,20.5,39.2,225
2023-12-07 15:51:23.196,20.5,39.2,222
2023-12-07 15:51:22.197,20.5,39.2,223
2023-12-07 15:51:21.185,20.5,39.2,222
2023-12-07 15:51:20.186,20.5,39.2,223
2023-12-07 15:51:19.178,20.5,39.2,223
2023-12-07 15:51:18.174,20.5,39.2,223
2023-12-07 15:51:17.167,20.5,39.2,222
